obs_id,a,b,E1,E2
0,303.730896,23.183258,0.499457,0.636494
0,304.187622,23.692528,0.824950,0.542419
0,304.548584,23.514465,0.797999,0.527518
0,304.013641,22.745661,0.595289,0.744626
0,303.643311,23.436884,0.548281,0.711038
0,303.933472,23.413570,0.654789,0.508111
0,303.804504,23.298134,0.541666,0.590040
0,303.827209,23.650850,0.677594,0.516001
0,303.209045,23.542864,0.522628,0.835055
0,303.441284,23.717382,0.546411,0.514022
0,304.413452,23.280762,0.625071,0.499375
0,303.360718,23.409546,0.521695,0.493325
0,303.672699,23.438459,0.577742,0.553243
0,304.399231,23.398703,0.814291,0.516256
0,304.462097,23.486565,0.684584,0.539250
0,303.400879,23.625084,0.517643,0.648650
0,303.960480,23.636898,0.631977,0.817928
0,303.764526,23.517406,0.557431,0.499409
0,304.251678,23.035151,0.624307,0.555939
0,303.851349,23.370996,0.541290,0.552426
0,303.607117,23.401464,0.510086,0.529185
0,304.155273,22.926659,0.608684,0.594619
0,303.575317,23.720922,0.628596,0.609600
0,304.141174,23.100142,0.517612,0.540403
0,303.745514,23.433083,0.626216,0.520240
0,304.118744,24.073866,0.906456,0.520178
0,303.366852,23.444267,0.541355,0.542997
0,303.493408,23.695351,0.538527,0.559805
0,304.287872,23.619049,0.816214,0.526819
0,303.563263,23.754581,0.685373,0.547467
0,303.550171,23.401386,0.592623,0.511212
0,303.538391,23.453712,0.563111,0.744800
0,303.878204,23.998848,0.758424,0.556250
0,304.518921,23.160423,0.672349,0.813876
0,303.657410,23.142179,0.499647,0.657585
0,304.455048,23.326160,0.724883,0.692257
0,303.901062,23.472628,0.654096,0.518458
0,303.757812,23.509853,0.633876,0.517064
0,303.901062,23.139654,0.541777,0.560484
0,304.815521,23.300831,0.871207,0.508404
0,303.925598,23.487698,0.676069,0.602629
0,303.542633,23.873291,0.650981,0.490275
0,303.593750,23.563362,0.539865,0.704166
0,303.876221,22.930483,0.540374,0.675464
0,304.047516,23.655279,0.682714,0.530250
0,303.538361,23.486912,0.545810,0.514660
0,304.368896,23.519730,0.805842,0.520611
0,303.746277,23.185394,0.569438,0.576238
0,304.214783,23.271404,0.707395,0.560626
0,304.098938,23.633228,0.722399,0.777968
0,304.362701,23.121836,0.647235,0.619542
0,303.815002,23.340988,0.544820,0.801559
0,304.000824,23.484705,0.688714,0.517406
0,303.736145,23.325245,0.537191,0.509712
0,303.580048,23.404713,0.626507,0.664038
0,304.311768,23.434233,0.703272,0.510188
0,303.986572,23.396887,0.571120,0.528222
0,303.529663,23.322296,0.526588,0.705973
0,304.208099,22.816395,0.604452,0.533486
0,304.612244,23.406237,0.854989,0.576216
0,303.202667,23.690235,0.522191,0.646464
0,303.604279,23.210442,0.546872,0.513336
0,303.634308,23.531693,0.526450,0.630166
0,304.535370,23.702175,0.801815,0.518067
0,304.585541,23.614693,0.892038,0.526647
0,303.925842,23.116884,0.580224,0.499713
0,303.427246,23.374825,0.540211,0.568475
0,304.265991,23.291607,0.693669,0.792375
0,303.718536,23.033236,0.496936,0.613614
0,304.143127,23.307512,0.606857,0.531729
0,304.054291,23.312317,0.584586,0.504967
0,303.518616,23.506248,0.547552,0.593513
0,303.569092,23.350292,0.505553,0.595789
0,303.904816,23.629858,0.650173,0.511160
0,303.702606,23.617832,0.550290,0.487433
0,303.636627,24.027000,0.627746,0.512164
0,304.299103,22.930248,0.579288,0.836706
0,304.049194,23.205303,0.624214,0.492267
0,303.955200,23.228424,0.561105,0.508854
0,304.864197,22.636164,0.659424,0.507919
0,303.903778,23.354153,0.665816,0.517902
0,304.055115,22.986279,0.554657,0.590080
0,304.240448,23.015585,0.584066,0.688294
0,303.720551,23.763086,0.635015,0.631419
0,303.504059,23.523851,0.569883,0.535221
0,304.277466,23.295120,0.626768,0.569348
0,304.123779,23.424667,0.719650,0.618801
0,304.646759,22.844225,0.663496,0.499252
0,304.028961,23.666763,0.618282,0.574549
0,304.227142,23.240196,0.621046,0.514919
0,304.445831,23.425739,0.757878,0.562083
0,304.057953,23.450319,0.769024,0.606967
0,303.672302,23.752869,0.596310,0.608069
0,303.254608,23.752886,0.508464,0.600223
0,303.604340,23.174685,0.538568,0.489936
0,303.914398,23.484093,0.574818,0.555834
0,303.331909,23.270426,0.501606,0.682256
0,304.218842,22.799532,0.539050,0.602032
0,304.328674,23.155128,0.706186,0.573496
0,304.156036,23.321135,0.646730,0.520931
0,304.026367,23.647690,0.769264,0.594855
0,304.123444,23.319736,0.636271,0.771891
0,303.270203,23.534153,0.538055,0.517891
0,303.394104,23.388264,0.513301,0.885611
0,304.264435,23.334707,0.595159,0.513443
0,304.061066,23.298563,0.609359,0.567859
0,303.647858,23.285467,0.518470,0.552764
0,304.112732,23.175854,0.584125,0.677089
0,303.760681,23.709768,0.681756,0.500706
0,304.738770,22.878574,0.801490,0.514110
0,303.774017,23.339731,0.555319,0.711489
0,303.750092,23.187124,0.667603,0.568510
0,303.877075,23.184496,0.571616,0.539797
0,304.018738,23.307568,0.594390,0.657744
0,304.571045,23.113436,0.694976,0.540625
0,304.130157,23.908390,0.760922,0.530460
0,304.166321,23.367659,0.657401,0.539999
0,303.444397,23.738043,0.536726,0.506378
0,304.051666,23.467350,0.591290,0.532534
0,303.587646,23.548939,0.631613,0.515009
0,303.437317,23.793966,0.544855,0.519021
0,303.610962,23.466915,0.522551,0.542022
0,303.854919,23.518152,0.586242,0.510303
0,303.588654,23.355591,0.514629,0.534935
0,303.320557,23.593019,0.590024,0.531479
0,303.504242,23.804270,0.559017,0.494337
0,303.264984,23.886116,0.526749,0.520096
0,303.176392,23.551395,0.517781,0.478438
0,304.318115,23.310286,0.754506,0.593135
0,304.073273,23.130621,0.602418,0.674306
0,303.789856,23.338564,0.534922,0.483793
0,303.416229,23.577888,0.536242,0.510585
0,304.096985,23.222578,0.660145,0.578109
0,303.707916,23.406336,0.540151,0.491592
0,303.842285,23.072556,0.539632,0.537875
0,303.692841,23.433037,0.560975,0.537151
0,303.741669,23.054298,0.590308,0.658727
0,303.982117,23.167898,0.518740,0.769875
0,303.126007,23.873791,0.518656,0.580539
0,303.941254,23.432650,0.571289,0.580725
0,303.966980,22.948143,0.568193,0.787709
0,303.908142,23.752569,0.816181,0.528746
0,304.080536,23.313236,0.589549,0.616410
0,303.391235,23.752714,0.513967,0.585594
0,304.074921,23.682970,0.702776,0.516425
0,303.337555,23.765327,0.542099,0.551066
0,303.805267,22.972874,0.550598,0.587354
0,303.924011,23.308029,0.592217,0.525615
0,304.434875,22.775591,0.590332,0.732736
0,304.350159,23.009268,0.685705,0.527179
0,304.190735,23.593994,0.699229,0.494572
0,303.964478,23.252169,0.572648,0.508505
0,303.825409,23.741423,0.616820,0.513633
0,303.904449,22.918385,0.509768,0.539311
0,303.869995,22.892109,0.499945,0.570655
0,304.393616,23.649799,0.865783,0.718476
0,303.724884,23.266113,0.506146,0.628248
0,303.313232,23.748411,0.561237,0.845783
0,304.006073,23.261215,0.584200,0.760953
0,303.103424,24.236149,0.603027,0.666619
0,303.839294,23.303232,0.558816,0.784824
0,304.348236,23.288534,0.726702,0.540845
0,304.725861,23.126234,0.725380,0.541113
0,304.085571,22.659294,0.577562,0.513384
0,304.115021,23.052212,0.537634,0.542280
0,303.579193,23.377090,0.497419,0.646844
0,303.699005,23.419771,0.542872,0.504897
0,304.171295,23.645706,0.696225,0.595340
0,304.457062,23.110668,0.638124,0.681864
0,304.645355,23.274698,0.862283,0.605622
0,305.071808,23.001116,0.739478,0.547538
0,304.169159,22.886606,0.572479,0.611005
0,304.510925,23.622169,0.752600,0.529943
0,303.941895,23.524456,0.597776,0.514114
0,304.003693,22.690975,0.585798,0.683693
0,303.416626,23.415056,0.549848,0.532250
