Orders,,,,,
1,19.5939,39.7633,88.6695,103.149,141.1495
2,19.7038,39.9739,89.3527,103.9124,141.2092
3,19.0858,38.9641,86.1415,100.9968,138.7494
4,20.2534,40.5603,91.1972,105.4919,143.7954
5,19.562,39.7552,88.8154,103.5576,138.5737
6,20.2339,40.4956,90.8475,105.1642,144.2686
7,20.289,40.7772,92.0356,106.4934,142.8112
8,19.9444,40.287,90.3861,104.9847,141.7157
9,19.9382,40.2902,90.7258,105.1755,140.3442
10,20.3694,40.7582,92.0218,106.2751,143.9561
11,19.9688,40.0731,90.4805,104.7616,140.455
12,19.6028,39.7311,89.4728,103.8851,138.6102
13,18.8157,38.2389,84.5431,98.9893,138.0854
14,18.5723,38.237,84.5388,99.3751,135.4328
15,20.2594,40.6322,91.8662,106.1835,143.7322
16,20.0747,40.4262,91.1133,105.433,141.4829
17,19.8147,40.1952,90.1828,104.754,141.0558
18,19.4615,39.5471,88.1474,102.7056,139.6227
19,20.1035,40.5532,91.8229,106.1403,139.9808
20,20.8916,41.614,95.1423,109.2518,144.2192
21,19.9619,40.1781,90.2592,104.5704,140.9626
22,19.5338,39.7062,88.5632,103.2578,139.0521
23,20.9609,41.6971,95.1049,109.0708,145.1307
24,19.7298,39.9948,89.2391,103.9312,140.5159
25,19.4527,39.4478,87.8373,102.4027,139.5921
26,19.6318,39.9219,89.4969,104.0277,138.2781
27,20.133,40.6985,92.6301,106.8184,137.7652
28,19.6585,39.909,89.5363,103.9684,139.0352
29,19.9378,39.9397,89.3377,103.6612,143.0868
30,20.055,40.1601,89.7844,104.257,144.0743
